date,channel,spend_gbp,impressions,clicks
2024-02-05,meta,345.21,39816,710
2024-02-05,google,159.82,13057,453
2024-02-05,tiktok,120.0,23529,513
2024-02-06,meta,326.6,37670,672
2024-02-06,google,205.53,16791,582
2024-02-06,tiktok,136.2,26705,582
2024-02-07,meta,307.69,35489,633
2024-02-07,google,180.93,14781,513
2024-02-07,tiktok,110.6,21686,473
2024-02-08,meta,372.2,42929,766
2024-02-08,google,201.01,16422,570
2024-02-08,tiktok,115.0,22549,492
2024-02-09,meta,345.01,39793,710
2024-02-09,google,186.81,15262,529
2024-02-09,tiktok,109.65,21500,469
2024-02-10,meta,357.28,41208,735
2024-02-10,google,183.04,14954,519
2024-02-10,tiktok,132.63,26005,567
2024-02-11,meta,334.22,38549,688
2024-02-11,google,153.8,12565,436
2024-02-11,tiktok,115.94,22733,496
2024-02-12,meta,283.46,32694,583
2024-02-12,google,204.19,16682,579
2024-02-12,tiktok,136.31,26727,583
2024-02-13,meta,364.15,42001,749
2024-02-13,google,170.45,13925,483
2024-02-13,tiktok,106.17,20817,454
2024-02-14,meta,368.76,42532,759
2024-02-14,google,205.16,16761,581
2024-02-14,tiktok,107.19,21017,458
2024-02-15,meta,329.81,38040,679
2024-02-15,google,157.52,12869,446
2024-02-15,tiktok,131.97,25876,564
2024-02-16,meta,357.61,41246,736
2024-02-16,google,160.73,13131,455
2024-02-16,tiktok,121.49,23821,519
2024-02-17,meta,336.15,38771,692
2024-02-17,google,168.15,13737,476
2024-02-17,tiktok,136.08,26682,582
2024-02-18,meta,323.56,37319,666
2024-02-18,google,165.26,13501,468
2024-02-18,tiktok,123.84,24282,529
2024-02-19,meta,354.05,40836,729
2024-02-19,google,164.68,13454,467
2024-02-19,tiktok,115.49,22645,494
2024-02-20,meta,380.4,43875,783
2024-02-20,google,189.03,15443,536
2024-02-20,tiktok,120.13,23554,514
2024-02-21,meta,332.95,38402,685
2024-02-21,google,160.33,13098,454
2024-02-21,tiktok,112.29,22017,480
2024-02-22,meta,315.11,36344,648
2024-02-22,google,185.69,15170,526
2024-02-22,tiktok,112.49,22056,481
2024-02-23,meta,303.4,34994,624
2024-02-23,google,157.62,12877,447
2024-02-23,tiktok,127.21,24943,544
2024-02-24,meta,304.27,35094,626
2024-02-24,google,202.9,16576,575
2024-02-24,tiktok,135.61,26590,580
2024-02-25,meta,288.56,33282,594
2024-02-25,google,166.68,13617,472
2024-02-25,tiktok,128.6,25215,550
2024-02-26,meta,302.81,34926,623
2024-02-26,google,160.95,13149,456
2024-02-26,tiktok,138.39,27135,592
2024-02-27,meta,338.26,39014,696
2024-02-27,google,179.42,14658,508
2024-02-27,tiktok,132.85,26049,568
2024-02-28,meta,361.75,41724,745
2024-02-28,google,164.1,13406,465
2024-02-28,tiktok,107.6,21098,460
2024-02-29,meta,324.35,37410,667
2024-02-29,google,176.75,14440,501
2024-02-29,tiktok,121.19,23762,518
2024-03-01,meta,365.93,41394,733
2024-03-01,google,191.26,15325,527
2024-03-01,tiktok,142.93,27486,595
2024-03-02,meta,301.15,34066,603
2024-03-02,google,176.49,14141,487
2024-03-02,tiktok,118.78,22842,494
2024-03-03,meta,379.55,42935,760
2024-03-03,google,168.09,13468,463
2024-03-03,tiktok,113.2,21769,471
2024-03-04,meta,337.12,38135,675
2024-03-04,google,177.54,14225,489
2024-03-04,tiktok,116.51,22405,485
2024-03-05,meta,316.7,35825,634
2024-03-05,google,204.88,16416,565
2024-03-05,tiktok,122.67,23590,510
2024-03-06,meta,379.52,42932,760
2024-03-06,google,184.54,14786,509
2024-03-06,tiktok,107.97,20763,449
2024-03-07,meta,393.69,44535,788
2024-03-07,google,200.13,16036,552
2024-03-07,tiktok,142.36,27376,592
2024-03-08,meta,386.2,43687,773
2024-03-08,google,200.82,16091,554
2024-03-08,tiktok,112.31,21598,467
2024-03-09,meta,340.93,38566,683
2024-03-09,google,166.19,13316,458
2024-03-09,tiktok,121.09,23286,504
2024-03-10,meta,297.06,33604,595
2024-03-10,google,175.2,14038,483
2024-03-10,tiktok,142.97,27494,595
2024-03-11,meta,318.28,36004,637
2024-03-11,google,197.29,15808,544
2024-03-11,tiktok,123.12,23676,512
2024-03-12,meta,334.49,37838,670
2024-03-12,google,206.74,16565,570
2024-03-12,tiktok,143.35,27567,596
2024-03-13,meta,348.13,39381,697
2024-03-13,google,193.71,15521,534
2024-03-13,tiktok,111.88,21515,465
2024-03-14,meta,321.52,36371,644
2024-03-14,google,207.36,16615,572
2024-03-14,tiktok,127.76,24569,531
2024-03-15,meta,346.73,39222,694
2024-03-15,google,195.32,15650,538
2024-03-15,tiktok,108.22,20811,450
2024-03-16,meta,351.05,39711,703
2024-03-16,google,181.96,14580,502
2024-03-16,tiktok,138.01,26540,574
2024-03-17,meta,307.21,34752,615
2024-03-17,google,206.93,16580,571
2024-03-17,tiktok,109.08,20976,454
2024-03-18,meta,310.13,35082,621
2024-03-18,google,186.98,14982,515
2024-03-18,tiktok,131.36,25261,546
2024-03-19,meta,315.2,35656,631
2024-03-19,google,161.07,12906,444
2024-03-19,tiktok,139.41,26809,580
2024-03-20,meta,316.33,35783,633
2024-03-20,google,186.96,14980,515
2024-03-20,tiktok,129.27,24859,538
2024-03-21,meta,334.1,37794,669
2024-03-21,google,186.36,14932,514
2024-03-21,tiktok,125.65,24163,523
2024-03-22,meta,387.05,43783,775
2024-03-22,google,165.67,13274,457
2024-03-22,tiktok,132.89,25555,553
2024-03-23,meta,315.56,35696,632
2024-03-23,google,176.12,14112,486
2024-03-23,tiktok,131.23,25236,546
2024-03-24,meta,321.86,36409,644
2024-03-24,google,171.77,13763,473
2024-03-24,tiktok,134.23,25813,558
2024-03-25,meta,298.49,33765,598
2024-03-25,google,179.52,14384,495
2024-03-25,tiktok,143.46,27588,597
2024-03-26,meta,393.36,44497,788
2024-03-26,google,158.53,12702,437
2024-03-26,tiktok,114.06,21934,474
2024-03-27,meta,318.28,36004,637
2024-03-27,google,205.43,16460,566
2024-03-27,tiktok,139.06,26742,578
2024-03-28,meta,381.36,43140,764
2024-03-28,google,174.68,13996,482
2024-03-28,tiktok,111.99,21536,466
2024-03-29,meta,376.68,42610,754
2024-03-29,google,192.9,15456,532
2024-03-29,tiktok,128.98,24803,536
2024-03-30,meta,392.45,44394,786
2024-03-30,google,190.2,15240,524
2024-03-30,tiktok,106.37,20455,442
2024-03-31,meta,374.97,42417,751
2024-03-31,google,170.86,13690,471
2024-03-31,tiktok,130.92,25176,545
2024-04-01,meta,400.16,44412,780
2024-04-01,google,162.66,12787,436
2024-04-01,tiktok,112.52,21230,455
2024-04-02,meta,311.91,34618,608
2024-04-02,google,185.62,14592,498
2024-04-02,tiktok,118.51,22360,480
2024-04-03,meta,364.72,40479,711
2024-04-03,google,194.63,15301,522
2024-04-03,tiktok,115.89,21866,469
2024-04-04,meta,367.84,40825,717
2024-04-04,google,169.76,13345,455
2024-04-04,tiktok,126.76,23916,513
2024-04-05,meta,396.6,44017,773
2024-04-05,google,201.67,15854,541
2024-04-05,tiktok,111.64,21064,452
2024-04-06,meta,345.49,38345,673
2024-04-06,google,170.46,13400,457
2024-04-06,tiktok,108.26,20426,438
2024-04-07,meta,382.36,42437,745
2024-04-07,google,190.22,14954,510
2024-04-07,tiktok,118.12,22286,478
2024-04-08,meta,379.19,42085,739
2024-04-08,google,185.53,14585,498
2024-04-08,tiktok,124.44,23479,504
2024-04-09,meta,301.59,33472,588
2024-04-09,google,159.42,12533,428
2024-04-09,tiktok,141.82,26758,574
2024-04-10,meta,396.45,44001,773
2024-04-10,google,185.2,14559,497
2024-04-10,tiktok,139.97,26409,567
2024-04-11,meta,362.35,40216,706
2024-04-11,google,163.41,12846,438
2024-04-11,tiktok,112.98,21316,457
2024-04-12,meta,333.26,36987,649
2024-04-12,google,204.57,16082,549
2024-04-12,tiktok,138.5,26132,561
2024-04-13,meta,391.86,43491,764
2024-04-13,google,204.57,16082,549
2024-04-13,tiktok,116.14,21913,470
2024-04-14,meta,327.03,36296,637
2024-04-14,google,160.93,12651,432
2024-04-14,tiktok,137.89,26016,558
2024-04-15,meta,394.35,43768,768
2024-04-15,google,177.57,13959,476
2024-04-15,tiktok,131.8,24867,533
2024-04-16,meta,316.96,35178,618
2024-04-16,google,206.26,16215,553
2024-04-16,tiktok,141.11,26624,571
2024-04-17,meta,404.12,44852,787
2024-04-17,google,199.73,15702,536
2024-04-17,tiktok,141.75,26745,574
2024-04-18,meta,303.19,33650,591
2024-04-18,google,195.67,15382,525
2024-04-18,tiktok,120.8,22792,489
2024-04-19,meta,399.3,44317,778
2024-04-19,google,199.27,15665,535
2024-04-19,tiktok,141.09,26620,571
2024-04-20,meta,386.56,42903,753
2024-04-20,google,169.92,13358,456
2024-04-20,tiktok,138.17,26069,559
2024-04-21,meta,312.03,34631,608
2024-04-21,google,203.1,15966,545
2024-04-21,tiktok,140.88,26581,570
2024-04-22,meta,324.16,35977,632
2024-04-22,google,200.05,15727,537
2024-04-22,tiktok,125.69,23715,509
2024-04-23,meta,332.93,36951,649
2024-04-23,google,198.89,15636,534
2024-04-23,tiktok,116.81,22039,473
2024-04-24,meta,303.07,33637,590
2024-04-24,google,165.88,13040,445
2024-04-24,tiktok,120.65,22764,488
2024-04-25,meta,392.25,43534,764
2024-04-25,google,208.29,16375,559
2024-04-25,tiktok,118.77,22409,481
2024-04-26,meta,368.61,40911,718
2024-04-26,google,177.2,13930,475
2024-04-26,tiktok,145.56,27464,589
2024-04-27,meta,357.44,39671,696
2024-04-27,google,206.77,16255,555
2024-04-27,tiktok,112.52,21230,455
2024-04-28,meta,403.5,44783,786
2024-04-28,google,165.08,12977,443
2024-04-28,tiktok,144.85,27330,586
2024-04-29,meta,328.72,36483,640
2024-04-29,google,161.24,12676,433
2024-04-29,tiktok,124.7,23528,505
2024-04-30,meta,377.84,41935,736
2024-04-30,google,172.49,13560,463
2024-04-30,tiktok,131.25,24764,531
2024-05-01,meta,366.05,39874,694
2024-05-01,google,177.28,13679,463
2024-05-01,tiktok,132.58,24551,522
2024-05-02,meta,337.96,36814,641
2024-05-02,google,195.1,15054,510
2024-05-02,tiktok,110.23,20412,434
2024-05-03,meta,411.37,44811,780
2024-05-03,google,185.72,14330,485
2024-05-03,tiktok,138.13,25579,544
2024-05-04,meta,391.28,42623,742
2024-05-04,google,193.0,14891,504
2024-05-04,tiktok,124.32,23022,490
2024-05-05,meta,317.74,34612,603
2024-05-05,google,192.65,14864,503
2024-05-05,tiktok,123.0,22777,485
2024-05-06,meta,344.43,37519,653
2024-05-06,google,202.77,15645,530
2024-05-06,tiktok,138.14,25581,544
2024-05-07,meta,342.95,37358,650
2024-05-07,google,173.1,13356,452
2024-05-07,tiktok,126.04,23340,497
2024-05-08,meta,354.12,38575,672
2024-05-08,google,172.34,13297,450
2024-05-08,tiktok,115.11,21316,453
2024-05-09,meta,356.09,38789,675
2024-05-09,google,207.86,16038,543
2024-05-09,tiktok,136.49,25275,538
2024-05-10,meta,408.88,44540,776
2024-05-10,google,189.96,14657,496
2024-05-10,tiktok,121.86,22566,480
2024-05-11,meta,370.05,40310,702
2024-05-11,google,156.08,12043,408
2024-05-11,tiktok,121.32,22466,478
2024-05-12,meta,357.13,38903,677
2024-05-12,google,188.01,14506,491
2024-05-12,tiktok,135.61,25112,534
2024-05-13,meta,360.97,39321,685
2024-05-13,google,180.41,13920,471
2024-05-13,tiktok,118.47,21938,467
2024-05-14,meta,361.87,39419,686
2024-05-14,google,205.7,15871,537
2024-05-14,tiktok,141.11,26131,556
2024-05-15,meta,328.65,35800,623
2024-05-15,google,160.73,12402,420
2024-05-15,tiktok,130.2,24111,513
2024-05-16,meta,379.35,41323,720
2024-05-16,google,174.52,13466,456
2024-05-16,tiktok,141.98,26292,559
2024-05-17,meta,392.28,42732,744
2024-05-17,google,193.12,14901,504
2024-05-17,tiktok,118.89,22016,468
2024-05-18,meta,331.87,36151,629
2024-05-18,google,157.41,12145,411
2024-05-18,tiktok,119.68,22162,471
2024-05-19,meta,362.08,39442,687
2024-05-19,google,202.86,15652,530
2024-05-19,tiktok,112.99,20924,445
2024-05-20,meta,355.44,38718,674
2024-05-20,google,190.75,14718,498
2024-05-20,tiktok,117.72,21799,464
2024-05-21,meta,386.29,42079,733
2024-05-21,google,183.29,14142,479
2024-05-21,tiktok,119.65,22157,471
2024-05-22,meta,381.88,41599,724
2024-05-22,google,156.37,12065,408
2024-05-22,tiktok,139.36,25807,549
2024-05-23,meta,394.35,42957,748
2024-05-23,google,161.93,12494,423
2024-05-23,tiktok,126.69,23461,499
2024-05-24,meta,329.33,35874,625
2024-05-24,google,208.82,16112,545
2024-05-24,tiktok,130.3,24129,513
2024-05-25,meta,315.58,34376,598
2024-05-25,google,169.79,13101,443
2024-05-25,tiktok,143.14,26507,564
2024-05-26,meta,360.04,39220,683
2024-05-26,google,200.2,15447,523
2024-05-26,tiktok,136.12,25207,536
2024-05-27,meta,418.19,45554,793
2024-05-27,google,188.86,14572,493
2024-05-27,tiktok,147.1,27240,580
2024-05-28,meta,407.64,44405,773
2024-05-28,google,189.8,14645,496
2024-05-28,tiktok,138.13,25579,544
2024-05-29,meta,365.32,39795,693
2024-05-29,google,201.81,15571,527
2024-05-29,tiktok,131.46,24344,518
2024-05-30,meta,408.27,44473,774
2024-05-30,google,197.02,15202,515
2024-05-30,tiktok,128.62,23818,507
2024-05-31,meta,338.45,36868,642
2024-05-31,google,169.68,13092,443
2024-05-31,tiktok,134.95,24990,532
2024-06-01,meta,487.18,52104,900
2024-06-01,google,222.81,16879,567
2024-06-01,tiktok,164.42,29894,631
2024-06-02,meta,420.69,44993,777
2024-06-02,google,193.34,14646,492
2024-06-02,tiktok,148.22,26949,569
2024-06-03,meta,420.3,44951,776
2024-06-03,google,209.43,15865,533
2024-06-03,tiktok,160.31,29147,615
2024-06-04,meta,402.25,43021,743
2024-06-04,google,203.55,15420,518
2024-06-04,tiktok,167.62,30476,643
2024-06-05,meta,479.14,51244,885
2024-06-05,google,192.46,14580,489
2024-06-05,tiktok,154.01,28001,591
2024-06-06,meta,456.97,48873,844
2024-06-06,google,215.81,16349,549
2024-06-06,tiktok,144.47,26267,554
2024-06-07,meta,440.39,47100,813
2024-06-07,google,248.29,18809,631
2024-06-07,tiktok,162.4,29527,623
2024-06-08,meta,477.67,51087,882
2024-06-08,google,245.09,18567,623
2024-06-08,tiktok,171.02,31094,656
2024-06-09,meta,435.01,46525,803
2024-06-09,google,188.58,14286,480
2024-06-09,tiktok,151.36,27520,581
2024-06-10,meta,485.51,51926,897
2024-06-10,google,244.88,18551,623
2024-06-10,tiktok,179.95,32718,691
2024-06-11,meta,440.24,47084,813
2024-06-11,google,237.84,18018,605
2024-06-11,tiktok,160.59,29198,616
2024-06-12,meta,465.18,49751,859
2024-06-12,google,202.84,15366,516
2024-06-12,tiktok,145.07,26376,557
2024-06-13,meta,442.51,47327,817
2024-06-13,google,190.12,14403,483
2024-06-13,tiktok,150.61,27383,578
2024-06-14,meta,475.45,50850,878
2024-06-14,google,215.04,16290,547
2024-06-14,tiktok,142.48,25905,547
2024-06-15,meta,446.79,47785,825
2024-06-15,google,196.67,14899,500
2024-06-15,tiktok,164.21,29856,630
2024-06-16,meta,387.17,41408,715
2024-06-16,google,214.36,16239,545
2024-06-16,tiktok,161.46,29356,619
2024-06-17,meta,387.19,41410,715
2024-06-17,google,230.88,17490,587
2024-06-17,tiktok,141.09,25652,541
2024-06-18,meta,446.02,47702,824
2024-06-18,google,191.53,14509,487
2024-06-18,tiktok,152.66,27756,586
2024-06-19,meta,412.17,44082,761
2024-06-19,google,209.9,15901,534
2024-06-19,tiktok,170.81,31056,655
2024-06-20,meta,434.84,46506,803
2024-06-20,google,238.14,18040,606
2024-06-20,tiktok,174.17,31667,668
2024-06-21,meta,417.67,44670,771
2024-06-21,google,193.63,14668,492
2024-06-21,tiktok,135.56,24647,520
2024-06-22,meta,456.54,48827,843
2024-06-22,google,254.6,19287,648
2024-06-22,tiktok,151.27,27503,580
2024-06-23,meta,471.52,50429,871
2024-06-23,google,240.08,18187,611
2024-06-23,tiktok,165.61,30110,635
2024-06-24,meta,485.61,51936,897
2024-06-24,google,251.26,19034,639
2024-06-24,tiktok,144.11,26201,553
2024-06-25,meta,386.28,41313,713
2024-06-25,google,198.31,15023,504
2024-06-25,tiktok,140.64,25570,540
2024-06-26,meta,474.14,50710,876
2024-06-26,google,225.65,17094,574
2024-06-26,tiktok,145.0,26363,556
2024-06-27,meta,478.2,51144,883
2024-06-27,google,239.13,18115,608
2024-06-27,tiktok,142.61,25929,547
2024-06-28,meta,465.72,49809,860
2024-06-28,google,237.87,18020,605
2024-06-28,tiktok,140.08,25469,537
2024-06-29,meta,494.42,52879,913
2024-06-29,google,252.27,19111,642
2024-06-29,tiktok,139.78,25414,536
2024-06-30,meta,387.0,41390,715
2024-06-30,google,208.91,15826,531
2024-06-30,tiktok,166.83,30332,640
2024-07-01,meta,528.51,55515,951
2024-07-01,google,215.58,16040,534
2024-07-01,tiktok,171.68,30657,642
2024-07-02,meta,405.54,42598,729
2024-07-02,google,235.2,17499,583
2024-07-02,tiktok,167.44,29899,626
2024-07-03,meta,409.15,42977,736
2024-07-03,google,240.67,17906,596
2024-07-03,tiktok,178.23,31826,666
2024-07-04,meta,478.64,50277,861
2024-07-04,google,197.19,14671,488
2024-07-04,tiktok,184.69,32980,690
2024-07-05,meta,504.04,52945,907
2024-07-05,google,212.28,15794,526
2024-07-05,tiktok,157.81,28180,590
2024-07-06,meta,446.6,46911,803
2024-07-06,google,222.88,16583,552
2024-07-06,tiktok,153.6,27428,574
2024-07-07,meta,513.37,53925,924
2024-07-07,google,243.99,18154,604
2024-07-07,tiktok,142.19,25391,531
2024-07-08,meta,528.87,55553,951
2024-07-08,google,231.53,17226,573
2024-07-08,tiktok,177.18,31639,662
2024-07-09,meta,493.54,51842,888
2024-07-09,google,218.17,16232,540
2024-07-09,tiktok,172.59,30819,645
2024-07-10,meta,529.52,55621,953
2024-07-10,google,207.13,15411,513
2024-07-10,tiktok,176.19,31462,658
2024-07-11,meta,469.96,49365,845
2024-07-11,google,221.38,16471,548
2024-07-11,tiktok,158.16,28242,591
2024-07-12,meta,496.84,52189,894
2024-07-12,google,207.02,15403,513
2024-07-12,tiktok,178.3,31839,666
2024-07-13,meta,510.74,53649,919
2024-07-13,google,194.89,14500,483
2024-07-13,tiktok,179.74,32096,672
2024-07-14,meta,428.94,45056,772
2024-07-14,google,220.12,16377,545
2024-07-14,tiktok,166.62,29753,623
2024-07-15,meta,447.77,47034,805
2024-07-15,google,191.02,14212,473
2024-07-15,tiktok,178.26,31832,666
2024-07-16,meta,420.29,44148,756
2024-07-16,google,203.27,15124,503
2024-07-16,tiktok,175.69,31373,657
2024-07-17,meta,442.38,46468,796
2024-07-17,google,247.86,18441,614
2024-07-17,tiktok,171.01,30537,639
2024-07-18,meta,433.45,45530,780
2024-07-18,google,189.79,14121,470
2024-07-18,tiktok,182.96,32671,684
2024-07-19,meta,406.88,42739,732
2024-07-19,google,237.17,17646,587
2024-07-19,tiktok,160.73,28701,601
2024-07-20,meta,500.63,52587,901
2024-07-20,google,235.2,17499,583
2024-07-20,tiktok,168.34,30060,629
2024-07-21,meta,463.36,48672,834
2024-07-21,google,242.03,18008,600
2024-07-21,tiktok,141.59,25283,529
2024-07-22,meta,425.83,44730,766
2024-07-22,google,235.28,17505,583
2024-07-22,tiktok,151.9,27125,568
2024-07-23,meta,476.01,50001,856
2024-07-23,google,220.7,16421,547
2024-07-23,tiktok,162.78,29067,608
2024-07-24,meta,454.26,47716,817
2024-07-24,google,238.89,17774,592
2024-07-24,tiktok,153.09,27337,572
2024-07-25,meta,492.92,51777,887
2024-07-25,google,207.19,15415,513
2024-07-25,tiktok,149.25,26651,558
2024-07-26,meta,411.76,43252,741
2024-07-26,google,201.96,15026,500
2024-07-26,tiktok,142.87,25512,534
2024-07-27,meta,469.64,49331,845
2024-07-27,google,239.98,17855,594
2024-07-27,tiktok,146.05,26080,546
2024-07-28,meta,425.11,44654,765
2024-07-28,google,221.43,16475,548
2024-07-28,tiktok,172.15,30741,643
2024-07-29,meta,531.08,55785,955
2024-07-29,google,224.12,16675,555
2024-07-29,tiktok,150.78,26924,563
2024-07-30,meta,408.96,42957,736
2024-07-30,google,202.06,15034,500
2024-07-30,tiktok,148.09,26444,553
2024-07-31,meta,419.96,44113,755
2024-07-31,google,190.05,14140,471
2024-07-31,tiktok,162.93,29094,609
2024-08-01,meta,371.43,38331,651
2024-08-01,google,212.81,15556,513
2024-08-01,tiktok,138.99,24384,506
2024-08-02,meta,422.0,43550,740
2024-08-02,google,165.41,12091,399
2024-08-02,tiktok,151.92,26652,553
2024-08-03,meta,397.31,41002,696
2024-08-03,google,207.13,15141,500
2024-08-03,tiktok,139.84,24533,509
2024-08-04,meta,394.74,40736,692
2024-08-04,google,182.97,13374,441
2024-08-04,tiktok,123.85,21728,451
2024-08-05,meta,344.78,35581,604
2024-08-05,google,210.95,15420,509
2024-08-05,tiktok,135.89,23840,495
2024-08-06,meta,436.9,45087,766
2024-08-06,google,180.75,13212,436
2024-08-06,tiktok,119.32,20933,434
2024-08-07,meta,413.87,42711,725
2024-08-07,google,161.35,11794,389
2024-08-07,tiktok,122.4,21473,445
2024-08-08,meta,405.91,41889,711
2024-08-08,google,175.34,12817,423
2024-08-08,tiktok,157.07,27556,572
2024-08-09,meta,352.8,36408,618
2024-08-09,google,201.08,14698,485
2024-08-09,tiktok,141.16,24764,514
2024-08-10,meta,433.15,44700,759
2024-08-10,google,170.97,12497,412
2024-08-10,tiktok,137.73,24163,501
2024-08-11,meta,392.49,40504,688
2024-08-11,google,183.1,13384,442
2024-08-11,tiktok,151.58,26592,552
2024-08-12,meta,456.97,47158,801
2024-08-12,google,175.42,12823,423
2024-08-12,tiktok,141.77,24871,516
2024-08-13,meta,411.5,42466,721
2024-08-13,google,199.72,14599,482
2024-08-13,tiktok,155.17,27222,565
2024-08-14,meta,363.47,37509,637
2024-08-14,google,170.15,12437,410
2024-08-14,tiktok,143.38,25154,522
2024-08-15,meta,357.41,36884,626
2024-08-15,google,168.07,12285,405
2024-08-15,tiktok,119.36,20940,434
2024-08-16,meta,338.96,34980,594
2024-08-16,google,183.53,13415,443
2024-08-16,tiktok,140.65,24675,512
2024-08-17,meta,373.45,38539,654
2024-08-17,google,171.29,12521,413
2024-08-17,tiktok,145.29,25489,529
2024-08-18,meta,422.66,43618,741
2024-08-18,google,183.73,13430,443
2024-08-18,tiktok,144.49,25349,526
2024-08-19,meta,449.07,46343,787
2024-08-19,google,202.39,14794,488
2024-08-19,tiktok,141.93,24899,517
2024-08-20,meta,417.66,43102,732
2024-08-20,google,210.54,15390,508
2024-08-20,tiktok,133.73,23461,487
2024-08-21,meta,403.73,41664,707
2024-08-21,google,194.55,14221,469
2024-08-21,tiktok,153.56,26940,559
2024-08-22,meta,437.44,45143,767
2024-08-22,google,162.35,11867,392
2024-08-22,tiktok,123.09,21594,448
2024-08-23,meta,375.41,38742,658
2024-08-23,google,200.21,14635,483
2024-08-23,tiktok,139.64,24498,508
2024-08-24,meta,373.13,38506,654
2024-08-24,google,165.31,12084,399
2024-08-24,tiktok,144.54,25357,526
2024-08-25,meta,422.27,43577,740
2024-08-25,google,211.04,15426,509
2024-08-25,tiktok,136.82,24003,498
2024-08-26,meta,397.66,41038,697
2024-08-26,google,162.85,11904,393
2024-08-26,tiktok,117.92,20687,429
2024-08-27,meta,390.28,40276,684
2024-08-27,google,176.37,12892,425
2024-08-27,tiktok,126.56,22203,461
2024-08-28,meta,349.56,36074,612
2024-08-28,google,212.12,15505,512
